,base,clouds,cod,coord,dt,id,main,name,rain,snow,sys,timezone,visibility,weather,wind
12,stations,{'all': 100},200,"{'lon': 168.86, 'lat': -46.19}",1570150438,6201424,"{'temp': 289.26, 'pressure': 1005, 'humidity': 60, 'temp_min': 289.26, 'temp_max': 289.26}",Mataura,,,"{'type': 3, 'id': 2008959, 'message': 0.0062, 'country': 'NZ', 'sunrise': 1570126300, 'sunset': 1570172113}",46800,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 4.92, 'deg': 320, 'gust': 8.49}"
13,stations,{'all': 0},200,"{'lon': 30.47, 'lat': 67.56}",1570150439,543508,"{'temp': 270.695, 'pressure': 1021.9, 'humidity': 96, 'temp_min': 270.695, 'temp_max': 270.695, 'sea_level': 1021.9, 'grnd_level': 998.17}",Kovdor,,,"{'message': 0.0073, 'country': 'RU', 'sunrise': 1570162742, 'sunset': 1570202083}",10800,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 0.94, 'deg': 315.475}"
14,stations,{'all': 100},200,"{'lon': -60.23, 'lat': -38.31}",1570150439,3833859,"{'temp': 280.125, 'pressure': 1029.14, 'humidity': 60, 'temp_min': 280.125, 'temp_max': 280.125, 'sea_level': 1029.14, 'grnd_level': 1017.55}",Barrow,,,"{'message': 0.0049, 'country': 'AR', 'sunrise': 1570095197, 'sunset': 1570140394}",-10800,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 5.07, 'deg': 80.813}"
15,stations,{'all': 75},200,"{'lon': -70.91, 'lat': -53.16}",1570150259,3874787,"{'temp': 278.92, 'pressure': 1007, 'humidity': 70, 'temp_min': 278.71, 'temp_max': 279.15}",Punta Arenas,,,"{'type': 1, 'id': 8487, 'message': 0.0061, 'country': 'CL', 'sunrise': 1570097162, 'sunset': 1570143554}",-10800,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 5.1, 'deg': 290}"
16,stations,{'all': 0},200,"{'lon': 152.91, 'lat': -31.43}",1570150427,2152659,"{'temp': 301.07, 'pressure': 1019, 'humidity': 28, 'temp_min': 300.37, 'temp_max': 302.15}",Port Macquarie,,,"{'type': 1, 'id': 9610, 'message': 0.0114, 'country': 'AU', 'sunrise': 1570130601, 'sunset': 1570175467}",36000,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 1.5, 'deg': 170}"
17,stations,{'all': 100},200,"{'lon': -56.15, 'lat': 72.79}",1570150259,3418910,"{'temp': 276.525, 'pressure': 997.18, 'humidity': 74, 'temp_min': 276.525, 'temp_max': 276.525, 'sea_level': 997.18, 'grnd_level': 996.62}",Upernavik,,,"{'message': 0.0057, 'country': 'GL', 'sunrise': 1570097587, 'sunset': 1570136046}",-7200,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 4, 'deg': 341.361}"
18,stations,{'all': 90},200,"{'lon': -133.03, 'lat': 69.44}",1570150204,6170031,"{'temp': 275.15, 'pressure': 1010, 'humidity': 100, 'temp_min': 275.15, 'temp_max': 275.15}",Tuktoyaktuk,,,"{'type': 1, 'id': 942, 'message': 0.007, 'country': 'CA', 'sunrise': 1570115660, 'sunset': 1570154867}",-21600,4828.0,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]","{'speed': 3.6, 'deg': 30}"
19,stations,{'all': 40},200,"{'lon': -151.26, 'lat': 60.55}",1570150442,5866063,"{'temp': 284.5, 'pressure': 1016, 'humidity': 54, 'temp_min': 283.15, 'temp_max': 285.15}",Kenai,,,"{'type': 1, 'id': 7680, 'message': 0.0065, 'country': 'US', 'sunrise': 1570119341, 'sunset': 1570159934}",-28800,16093.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 1.35, 'deg': 337.475}"
20,stations,{'all': 40},200,"{'lon': -68.31, 'lat': -54.81}",1570150424,3833367,"{'temp': 280.15, 'pressure': 997, 'humidity': 56, 'temp_min': 280.15, 'temp_max': 280.15}",Ushuaia,,,"{'type': 1, 'id': 8303, 'message': 0.0077, 'country': 'AR', 'sunrise': 1570096446, 'sunset': 1570143022}",-10800,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 6.2, 'deg': 270, 'gust': 11.3}"
21,stations,{'all': 75},200,"{'lon': 115.24, 'lat': 5.28}",1570150443,1733782,"{'temp': 297.82, 'pressure': 1013, 'humidity': 94, 'temp_min': 297.04, 'temp_max': 298.15}",Victoria,,,"{'type': 1, 'id': 9372, 'message': 0.0066, 'country': 'BN', 'sunrise': 1570140363, 'sunset': 1570183782}",28800,10000.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 4.07, 'deg': 55.635}"
22,stations,{'all': 100},200,"{'lon': 126.5, 'lat': 46.83}",1570150443,2034228,"{'temp': 277.875, 'pressure': 1026.7, 'humidity': 36, 'temp_min': 277.875, 'temp_max': 277.875, 'sea_level': 1026.7, 'grnd_level': 1001.57}",Wangkui,,,"{'message': 0.006, 'country': 'CN', 'sunrise': 1570138530, 'sunset': 1570180212}",28800,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 7.34, 'deg': 19.02}"
23,stations,{'all': 73},200,"{'lon': 138.6, 'lat': -33.21}",1570150339,2069194,"{'temp': 298.145, 'pressure': 1021.72, 'humidity': 33, 'temp_min': 298.145, 'temp_max': 298.145, 'sea_level': 1021.72, 'grnd_level': 985.05}",Jamestown,,,"{'message': 0.0075, 'country': 'AU', 'sunrise': 1570133985, 'sunset': 1570178950}",34200,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 4.68, 'deg': 39.299}"
24,stations,{'all': 97},200,"{'lon': -76.97, 'lat': 0.12}",1570150444,3655185,"{'temp': 295.085, 'pressure': 1015.08, 'humidity': 90, 'temp_min': 295.085, 'temp_max': 295.085, 'sea_level': 1015.08, 'grnd_level': 974.3}",Samana,,,"{'message': 0.0067, 'country': 'EC', 'sunrise': 1570100014, 'sunset': 1570143610}",-18000,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 1.06, 'deg': 159.933}"
25,stations,{'all': 55},200,"{'lon': 32.43, 'lat': -14.06}",1570150444,921028,"{'temp': 291.635, 'pressure': 1016.07, 'humidity': 86, 'temp_min': 291.635, 'temp_max': 291.635, 'sea_level': 1016.07, 'grnd_level': 901.74}",Chadiza,,,"{'message': 0.0063, 'country': 'ZM', 'sunrise': 1570159884, 'sunset': 1570204002}",7200,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 4.24, 'deg': 137.188}"
26,stations,{'all': 40},200,"{'lon': 177.51, 'lat': 64.73}",1570150445,2127202,"{'temp': 268.91, 'pressure': 993, 'humidity': 79, 'temp_min': 268.71, 'temp_max': 269.15}",Anadyr,,,"{'type': 1, 'id': 8872, 'message': 0.0071, 'country': 'RU', 'sunrise': 1570127127, 'sunset': 1570167136}",43200,9000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 11, 'deg': 280, 'gust': 17}"
27,stations,{'all': 0},200,"{'lon': 43.97, 'lat': 26.33}",1570150445,107304,"{'temp': 302.15, 'pressure': 1012, 'humidity': 32, 'temp_min': 302.15, 'temp_max': 302.15}",Buraydah,,,"{'type': 1, 'id': 7411, 'message': 0.0075, 'country': 'SA', 'sunrise': 1570157849, 'sunset': 1570200498}",10800,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 2.1, 'deg': 330}"
28,stations,{'all': 90},200,"{'lon': -74.86, 'lat': 49.78}",1570150446,5919850,"{'temp': 274.15, 'pressure': 1018, 'humidity': 74, 'temp_min': 274.15, 'temp_max': 274.15}",Chapais,,,"{'type': 1, 'id': 859, 'message': 0.0065, 'country': 'CA', 'sunrise': 1570100514, 'sunset': 1570142098}",-14400,14484.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 3.1, 'deg': 40}"
29,stations,{'all': 72},200,"{'lon': -159.78, 'lat': -21.21}",1570150258,4035715,"{'temp': 299.15, 'pressure': 1013, 'humidity': 65, 'temp_min': 299.15, 'temp_max': 299.15}",Avarua,,,"{'type': 1, 'id': 7271, 'message': 0.0082, 'country': 'CK', 'sunrise': 1570119492, 'sunset': 1570163871}",-36000,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 3.6, 'deg': 360}"
30,stations,{'all': 91},200,"{'lon': -69.36, 'lat': 77.48}",1570150447,3831208,"{'temp': 271.965, 'pressure': 1000.21, 'humidity': 58, 'temp_min': 271.965, 'temp_max': 271.965, 'sea_level': 1000.21, 'grnd_level': 961.44}",Qaanaaq,,,"{'message': 0.0079, 'country': 'GL', 'sunrise': 1570101745, 'sunset': 1570138227}",-10800,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 2.72, 'deg': 67.059}"
31,stations,{'all': 2},200,"{'lon': 71.92, 'lat': 26.93}",1570150447,1259460,"{'temp': 302.605, 'pressure': 1008.07, 'humidity': 54, 'temp_min': 302.605, 'temp_max': 302.605, 'sea_level': 1008.07, 'grnd_level': 984.77}",Pokaran,{'3h': 0.938},,"{'message': 0.0063, 'country': 'IN', 'sunrise': 1570151151, 'sunset': 1570193783}",19800,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 2.73, 'deg': 275.443}"
32,stations,{'all': 20},200,"{'lon': 22.93, 'lat': 37.94}",1570150448,259289,"{'temp': 293.88, 'pressure': 1009, 'humidity': 73, 'temp_min': 288.15, 'temp_max': 297.15}",Corinth,,,"{'type': 1, 'id': 6613, 'message': 0.0079, 'country': 'GR', 'sunrise': 1570163158, 'sunset': 1570205286}",10800,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 2.73, 'deg': 227.922}"
33,stations,{'all': 60},200,"{'lon': -53.46, 'lat': -33.69}",1570150270,3443061,"{'temp': 287.475, 'pressure': 1026.64, 'humidity': 81, 'temp_min': 287.475, 'temp_max': 287.475, 'sea_level': 1026.64, 'grnd_level': 1026.45}",Chuy,,,"{'message': 0.0062, 'country': 'UY', 'sunrise': 1570093704, 'sunset': 1570138637}",-10800,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 4.29, 'deg': 90.28}"
34,stations,{'all': 75},200,"{'lon': 147.33, 'lat': -42.88}",1570150255,2163355,"{'temp': 286.48, 'pressure': 1017, 'humidity': 44, 'temp_min': 285.37, 'temp_max': 287.59}",Hobart,,,"{'type': 1, 'id': 9545, 'message': 0.0063, 'country': 'AU', 'sunrise': 1570131588, 'sunset': 1570177157}",36000,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 6.2, 'deg': 300}"
35,stations,{'all': 100},200,"{'lon': 1.45, 'lat': 52.47}",1570150449,2656067,"{'temp': 284.03, 'pressure': 1005, 'humidity': 100, 'temp_min': 283.15, 'temp_max': 285.37}",Broome,,,"{'type': 1, 'id': 1467, 'message': 0.0079, 'country': 'GB', 'sunrise': 1570168774, 'sunset': 1570209978}",3600,2300.0,"[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10n'}]","{'speed': 5.7, 'deg': 170}"
36,stations,{'all': 89},200,"{'lon': -99.65, 'lat': 37.17}",1570150450,4267710,"{'temp': 286.21, 'pressure': 973, 'humidity': 77, 'temp_min': 285.93, 'temp_max': 286.48}",Sitka,,,"{'type': 3, 'id': 2021131, 'message': 0.0072, 'country': 'US', 'sunrise': 1570106124, 'sunset': 1570148384}",-18000,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 3.13, 'deg': 263, 'gust': 5.81}"
37,stations,{'all': 90},200,"{'lon': -123.77, 'lat': 46.96}",1570150450,5790966,"{'temp': 284.98, 'pressure': 1016, 'humidity': 87, 'temp_min': 283.15, 'temp_max': 286.48}",Cosmopolis,{'1h': 0.93},,"{'type': 1, 'id': 4406, 'message': 0.0081, 'country': 'US', 'sunrise': 1570112174, 'sunset': 1570153909}",-25200,11265.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 4.1, 'deg': 180}"
38,stations,{'all': 5},200,"{'lon': -17.03, 'lat': 20.93}",1570150450,2377457,"{'temp': 300.15, 'pressure': 1012, 'humidity': 51, 'temp_min': 300.15, 'temp_max': 300.15}",Nouadhibou,,,"{'type': 1, 'id': 2444, 'message': 0.0074, 'country': 'MR', 'sunrise': 1570172388, 'sunset': 1570215233}",0,7000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 9.8, 'deg': 20}"
39,stations,{'all': 13},200,"{'lon': -13.05, 'lat': 20.52}",1570150451,2381334,"{'temp': 306.275, 'pressure': 1010.91, 'humidity': 12, 'temp_min': 306.275, 'temp_max': 306.275, 'sea_level': 1010.91, 'grnd_level': 993.58}",Atar,,,"{'message': 0.0075, 'country': 'MR', 'sunrise': 1570171424, 'sunset': 1570214286}",0,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 6.73, 'deg': 18.831}"
